exper_data_id	pop_label	data_group_name	mean_still	mean_forward	mean_backward	date_str	time_str
B306-20190304_120415_proc_herm	CA310L0_herm	B306	-0.967758675992421	0.65063382581616	-2.62543577531954	20190304	120415
B306-20190304_120415_proc_male	CA310L0_male	B306	-2.08920095943265	1.29983932671556	-2.15310757111818	20190304	120415
B306-20190304_122501_proc_herm	CA336L0_herm	B306	-0.627526039345065	0.427966505496321	-3.01977847864389	20190304	122501
B306-20190304_122501_proc_male	CA336L0_male	B306	-2.1286092325056	1.43411912923127	-2.36207712772028	20190304	122501
B306-20190304_124534_proc_herm	A6100L0_herm	B306	-0.777944722875982	0.558483523876386	-2.96279189559909	20190304	124534
B306-20190304_124534_proc_male	A6100L0_male	B306	-2.21717628445426	1.43443144250626	-2.26350932843347	20190304	124534
B306-20190304_130558_proc_herm	A210L0_herm	B306	-0.563048308254418	0.293355748065711	-2.67706914944954	20190304	130558
B306-20190304_130558_proc_male	A210L0_male	B306	-2.22514463797178	1.44609090253657	-2.27649064290502	20190304	130558
B306-20190304_132626_proc_herm	CA136L0_herm	B306	-0.719902440336993	0.489186006208479	-2.8895839127355	20190304	132626
B306-20190304_132626_proc_male	CA136L0_male	B306	-1.92234998897503	1.25552799640605	-2.26404378077142	20190304	132626
B306-20190304_134659_proc_herm	CA268L0_herm	B306	-1.0897084446785	0.818812283401945	-2.85657086261751	20190304	134659
B306-20190304_134659_proc_male	CA268L0_male	B306	-2.00031579964105	1.23272585739259	-2.12663439098252	20190304	134659
B306-20190304_140736_proc_herm	A510L0_herm	B306	-1.02461372280178	0.781506454489867	-2.94727156793015	20190304	140736
B306-20190304_140736_proc_male	A510L0_male	B306	-2.24064365093003	1.44030377683918	-2.25012450610531	20190304	140736
B306-20190304_142814_proc_herm	A610L0_herm	B306	-1.12047616378607	0.951642288142667	-3.38929527976467	20190304	142814
B306-20190304_142814_proc_male	A610L0_male	B306	-2.19290638144684	1.58600246909696	-2.59350258130899	20190304	142814
B306-20190304_145046_proc_herm	OF5L0_herm	B306	-1.23952127602965	0.986555932985037	-3.00782631095584	20190304	145046
B306-20190304_145046_proc_male	OF5L0_male	B306	-2.29153831535842	1.51692556947689	-2.33720085183772	20190304	145046
B306-20190304_153153_proc_herm	CA566L0_herm	B306	-1.23798343218903	0.98253126550502	-2.99609455092372	20190304	153153
B306-20190304_153153_proc_male	CA566L0_male	B306	-2.32162606440984	1.53468301296503	-2.33877835778438	20190304	153153
B307-20190308_082024_proc_herm	CA236L0_herm	B307	-0.640645293876865	0.306895051472676	-2.45914833909553	20190308	082024
B307-20190308_082024_proc_male	CA236L0_male	B307	-2.03819295618018	1.23935989605375	-2.09794661155506	20190308	082024
B307-20190308_084102_proc_herm	A330L0_herm	B307	-0.494555168417998	0.250385058779081	-2.77107030645401	20190308	084102
B307-20190308_084102_proc_male	A330L0_male	B307	-2.19932864673877	1.35684301200678	-2.14346918920553	20190308	084102
B307-20190308_090130_proc_herm	CA432L0_herm	B307	-0.53626052879134	0.299792413649287	-2.81441210072669	20190308	090130
B307-20190308_090130_proc_male	CA432L0_male	B307	-2.045889906147	1.32280878476721	-2.24382982692911	20190308	090130
B307-20190308_092258_proc_herm	A4100L0_herm	B307	-0.120467304054508	-0.0772293871455018	-2.95760699443198	20190308	092258
B307-20190308_092258_proc_male	A4100L0_male	B307	-2.00027638804721	1.33646068866563	-2.32690851312253	20190308	092258
B307-20190308_094427_proc_herm	CA632L0_herm	B307	-0.402055140859422	0.190361309182649	-2.90851585460644	20190308	094427
B307-20190308_094427_proc_male	CA632L0_male	B307	-1.98960134985225	1.28761643182613	-2.24297117649767	20190308	094427
B307-20190308_100450_proc_herm	A6140L0_herm	B307	-0.514061738863825	0.318022909901583	-3.01134846909956	20190308	100450
B307-20190308_100450_proc_male	A6140L0_male	B307	-1.8968225625965	1.22568375025036	-2.23708592290749	20190308	100450
B307-20190308_102516_proc_herm	CA466L0_herm	B307	-0.495161712412535	0.255094407528501	-2.78954739764322	20190308	102516
