exper_data_id	data_id	pop_label	data_group_name	date_str	time_str	exper_duration_s	trackL	n_tracks	mean_nb_tracks	logD	temperature	rel_humidity	location_label	env_label	T12	T13	T21	T23	T31	T32
B105-20180206_104223_proc	A6140L333_NGM_B105	A6140L333	B105	20180206	104223	1198.486	218.008913649025	4262	775.273127906496	2.88945473095238	24.9	27	Paris2	NGM	-0.799222864959581	-1.91086573286955	-1.20235889669677	-4.34294733811717	-0.0962452302883102	-2.04433534530341
B105-20180206_110303_proc	A6140L287_NGM_B105	A6140L287	B105	20180206	110303	1297.613	239.937282229965	6428	1188.5799927823	3.07502841555926	25	27	Paris2	NGM	-1.3003249378225	-2.53213101735254	-1.2007662830334	-4.35051161039604	-0.378787438487156	-1.66884516384436
B105-20180206_112635_proc	A6140L253_NGM_B105	A6140L253	B105	20180206	112635	1296.902	277.008728859793	4017	858.001656123429	2.93348812612909	25.1	27	Paris2	NGM	-0.966791406219783	-2.22402864538575	-0.969320914157858	-4.47018144989802	-0.418622461914805	-1.97689886552377
B105-20180206_115258_proc	A6140L261_NGM_B105	A6140L261	B105	20180206	115258	1197.851	338.967257844475	2873	813.000057425486	2.91009057627005	25.2	27	Paris2	NGM	-1.07281014183992	-2.57988015575418	-0.896483769567482	-5.74762459741002	-0.274219408412822	-2.66592059845614
B105-20180206_121341_proc	A6140L326_NGM_B105	A6140L326	B105	20180206	121341	1218.032	261.05174488568	3800	814.425754467521	2.91085149884125	25.2	28	Paris2	NGM	-1.59759919942031	-2.76534660624925	-1.39521683638397	-4.23007441765218	-0.467440209178902	-1.75802885584443
B105-20180206_123436_proc	A6140L251_NGM_B105	A6140L251	B105	20180206	123436	1197.946	285.376757263355	5716	1361.67535474666	3.13407357714497	25.3	27	Paris2	NGM	-1.41670424160723	-2.70382443518323	-1.07114847573868	-4.89970094366863	-0.359630059900534	-2.01827309096175
B105-20180206_125528_proc	A6140L283_NGM_B105	A6140L283	B105	20180206	125528	1296.906	305.3996529786	4135	973.723280689975	2.98843555365047	25.3	27	Paris2	NGM	-1.3199502804922	-2.33538086956426	-1.09132513140873	-4.88132704855529	-0.259455749741999	-2.38945832460148
B105-20180206_132548_proc	A6140L265_NGM_B105	A6140L265	B105	20180206	132548	1198.692	296.693844924061	3466	857.885817630212	2.93342948822976	25.3	27	Paris2	NGM	-1.50386986016715	-2.4457155963258	-1.2014990168502	-4.6687406732346	-0.337756926528119	-2.18511321023064
B105-20180206_134635_proc	A6140L317_NGM_B105	A6140L317	B105	20180206	134635	1198.416	431.711598746082	1285	462.902201229552	2.66548924597956	25.3	27	Paris2	NGM	-1.85244131441143	-3.04242201255166	-1.02836297946097	-4.37234074502203	-0.268638789290723	-2.15856451178831
B105-20180206_140758_proc	A6140L324_NGM_B105	A6140L324	B105	20180206	140758	1258.854	296.106113843992	3489	820.678356029918	2.91417297980959	25.3	28	Paris2	NGM	-1.60266156911236	-2.63118396396674	-1.48554091535913	-4.31642086182644	-0.653227731413236	-1.51298934963812
B105-20180206_143018_proc	A6140L309_NGM_B105	A6140L309	B105	20180206	143018	1212.827	385.359667359667	1663	528.396157753024	2.72295965096988	25.2	28	Paris2	NGM	-1.70240902697002	-3.25700634253688	-0.537553826595477	-3.99575823094152	0.0679300384072307	-1.80850725992502
B105-20180206_145110_proc	A6140L293_NGM_B105	A6140L293	B105	20180206	145110	1296.412	223.141898370086	1932	332.541003670906	2.52184520323337	25.1	28	Paris2	NGM	-1.0961223971968	-2.49146718942321	-0.785966826605431	-4.41815353146324	-0.208458867580923	-2.16077033316071
B105-20180206_151558_proc	A6140L290_NGM_B105	A6140L290	B105	20180206	151558	1200.35	250.928315412186	5698	1191.14386738754	3.0759642191143	25	27	Paris2	NGM	-1.16089455038395	-2.39125280714516	-1.27677859785302	-4.84227273802759	-0.277421283787263	-2.12448438276048
B105-20180206_153631_proc	A6140L273_NGM_B105	A6140L273	B105	20180206	153631	1246.208	312.082711085583	3762	942.102088177867	2.97409796641288	25	27	Paris2	NGM	-1.35843503805323	-2.7757102314931	-1.23379166839842	-4.271446905571	-0.359928706719207	-1.64884455875804
B105-20180206_155807_proc	A6140L268_NGM_B105	A6140L268	B105	20180206	155807	1243.27	409.671811535337	2229	734.481221224888	2.86598069648752	24.8	27	Paris2	NGM	-2.14574004702032	-3.16299828368124	-1.00699306909223	-3.83230540731897	-0.354763573525693	-1.74143229043576
B105-20180206_161920_proc	A6140L217_NGM_B105	A6140L217	B105	20180206	161920	1197.106	258.483459545636	5371	1159.72575629861	3.06435530249644	24.8	27	Paris2	NGM	-1.05748238128873	-2.87303550804993	-0.904266175095499	-5.49988032721562	-0.267358409097857	-2.10407142481616
B105-20180206_163949_proc	A6140L228_NGM_B105	A6140L228	B105	20180206	163949	1297.386	364.410014513788	3620	1016.78625523931	3.00722966685942	25	27	Paris2	NGM	-1.71875661824421	-2.71079936055606	-1.09068856937074	-4.53769817401605	-0.24952728199314	-2.33040273609301
B105-20180206_170419_proc	A6140L218_NGM_B105	A6140L218	B105	20180206	170419	1296.799	223.950852160127	5435	938.597948865082	2.972479600806	24.9	27	Paris2	NGM	-1.04221285118075	-2.22280601849409	-1.17083268661177	-4.78126441253503	-0.454195863508552	-2.25246345720402
B105-20180206_173311_proc	A6140L233_NGM_B105	A6140L233	B105	20180206	173311	1230.963	478.018348623853	1567	608.511183759039	2.78426856448918	25	27	Paris2	NGM	-1.71357855542193	-2.67727026846775	-0.728172262917352	-4.44112175179538	-0.150464244910669	-2.56592297439894
B106-20180212_101717_proc	CA3100L120_NGM_B106	CA3100L120	B106	20180212	101717	1210.394	165.133183968135	10108	1379.02717920769	3.13957282575787	24.6	25	Paris2	NGM	-0.758207392762543	-2.04335725829902	-2.12398294336857	-5.57251910468025	-0.81110595950523	-1.99468077914755
B106-20180212_103833_proc	CA1100L44_NGM_B106	CA1100L44	B106	20180212	103833	1197.384	254.641703377386	6620	1407.8424936013	3.14855406958867	24.8	26	Paris2	NGM	-1.31871353611207	-2.38296304091069	-1.52530113073195	-4.41604122355081	-0.71354473032209	-1.87643455294245
B106-20180212_105916_proc	CA2100L77_NGM_B106	CA2100L77	B106	20180212	105916	1198.264	145.504117108875	33550	4073.94624974358	3.61001529476877	24.9	27	Paris2	NGM	-1.39323324845946	-2.49222882071055	-2.92441274613996	-3.90651660925044	-1.9720159413713	-0.561758445993053
B106-20180212_111950_proc	CA1100L19_NGM_B106	CA1100L19	B106	20180212	111950	1212.759	155.847400241838	13039	1675.59610091809	3.22416934109493	25	27	Paris2	NGM	-0.829399525350541	-2.21713456426881	-2.24066820472307	-4.8915934722751	-0.997883042858674	-1.06276462569538
B106-20180212_114103_proc	CA2100L89_NGM_B106	CA2100L89	B106	20180212	114103	1198.185	185.412168792934	8185	1266.58120538161	3.10263303930506	25.2	27	Paris2	NGM	-1.37346390067101	-2.54813412128651	-2.09233107211245	-3.42079476799106	-1.56854352041187	-0.761412729193595
B106-20180212_120157_proc	CA1100L87_NGM_B106	CA1100L87	B106	20180212	120157	1198.406	156.783941947566	10915	1427.97743532465	3.15472134484113	25.4	27	Paris2	NGM	-0.67700300413797	-1.89588606479803	-1.91699823262011	-4.57327224602438	-0.856985913311533	-1.90024615824612
B106-20180212_122241_proc	CA2100L18_NGM_B106	CA2100L18	B106	20180212	122241	1197.656	189.2516222062	9637	1522.82281656933	3.18264937525812	25.5	27	Paris2	NGM	-1.28113596911697	-2.18092568081282	-2.30014513914448	-3.75938882259559	-1.73205900296067	-1.29449756851459
B106-20180212_124333_proc	CA1100L34_NGM_B106	CA1100L34	B106	20180212	124333	1195.676	225.645564348188	4611	870.178624652076	2.93960841093823	25.7	27	Paris2	NGM	-0.663671204287093	-1.9754314309268	-1.4347892770117	-5.17068169280802	-0.582529032245008	-2.31540317151789
B106-20180212_130415_proc	CA1100L120_NGM_B106	CA1100L120	B106	20180212	130415	1256.694	237.492801316331	6892	1302.46534691194	3.11476617738797	25.8	27	Paris2	NGM	-1.42831196243767	-2.26389801737141	-1.46711428967252	-3.38207714651595	-1.04688239564556	-1.29326667339575
